Frame,Dist_Px,Dist_CM,Dist_Std_CM
100,29.083333333333314,0.28698321397004223,0.21594770204235741
101,27.544444444444423,0.27179804677430164,0.1996911603644085
102,30.409090909090935,0.30006528285380335,0.18343153266747037
103,26.80000000000001,0.26445215361823976,0.17354543517763818
104,24.42391304347825,0.24100583597509095,0.14444779766852237
105,22.063829787234056,0.2177174367276236,0.11104214953020762
106,23.67346938775512,0.23360074489579516,0.13042799808406225
107,26.525773195876297,0.2617461883596441,0.16860061662238462
108,32.91752577319585,0.32481755904871457,0.31252578741276754
109,25.02222222222224,0.2469097222007778,0.13486528547026858
110,25.4065934065934,0.25070255009241016,0.14929174512282303
111,25.60638297872339,0.25267399720510575,0.14814170603579396
112,25.297872340425556,0.24962973217853862,0.1450368385315835
113,24.419354838709694,0.24096085735316267,0.13922110559356818
